,gene,mean_intensity.48_mean,mean_intensity.48_std,mean_intensity.48_count,area.48_mean,area.48_std,area.48_count,mean_intensity.24_mean,mean_intensity.24_std,mean_intensity.24_count,area.24_mean,area.24_std,area.24_count,corrected_mean_intensity.48_mean,corrected_mean_intensity.48_std,corrected_mean_intensity.48_count,corrected_area.48_mean,corrected_area.48_std,corrected_area.48_count,corrected_mean_intensity.24_mean,corrected_mean_intensity.24_std,corrected_mean_intensity.24_count,corrected_area.24_mean,corrected_area.24_std,corrected_area.24_count
0,ADE12,0.0,0.0,4.0,78.75,1.5000000000000004,4.0,0.00044654150099173904,6.183143437288419e-06,4.0,44.5,0.5773502691896257,4.0,0.0,0.0,4.0,73.4019182666776,2.697091651836505,4.0,0.0005011221694111139,9.999211081751152e-06,4.0,41.64378055736814,0.6868666509838428,3.0
1,AIM22,0.000754639344133725,4.812848114663348e-06,4.0,81.75,1.5,4.0,0.0006979207462709429,5.9002468492400736e-06,4.0,55.75,2.0615528128088303,4.0,0.0006950213265659762,3.8417160184420685e-06,3.0,118.60050269211736,2.1508425362922385,4.0,0.0006263627185916571,5.412650268714777e-06,4.0,72.00345696129364,2.360553554157633,4.0
2,"ARG5,6",0.001236825880387551,1.7751418927528423e-05,4.0,97.75,6.075908711186062,4.0,0.0008191941667753269,1.8614510439971e-05,4.0,57.75,3.2015621187164243,4.0,0.0011654788995326768,3.787355939173206e-05,4.0,137.49579964570694,7.232350319131808,4.0,0.0007631302188222101,1.6588385416346663e-05,4.0,76.83900985525914,1.4323629268610942,3.0
3,CCM19_WT,0.000807591185601959,5.297044812179936e-06,4.0,131.25,4.193248541803044,4.0,0.0007343845399705826,8.854231961832594e-06,4.0,82.0,1.9999999999999987,4.0,0.0007581330014243646,8.922386386592616e-06,4.0,169.05724523376986,2.2723588024317802,3.0,0.000675770116125169,1.5775380672467511e-06,3.0,93.95111918706691,0.7544104744374608,3.0
4,FLO10,0.0008876810433063787,1.3351860263673656e-05,4.0,120.5,3.696845502136472,4.0,0.0008208544019659645,1.6729365998205852e-05,4.0,71.5,4.509249752822894,4.0,0.0008539707156829876,1.553164433520521e-05,4.0,160.0583978909495,1.1306704795514728,3.0,0.0007666021677763267,9.330801163806492e-06,4.0,86.19572749527802,5.293385316144815,4.0
5,LPD1,0.0007136234851457235,9.625463445759467e-06,4.0,118.75,3.4034296427770236,4.0,0.000672401306546984,8.226606839626418e-06,4.0,67.5,3.872983346207418,4.0,0.0007841226989283645,1.0621957877599527e-05,4.0,135.14057205591908,1.3041015106532197,3.0,0.0007091053568868288,1.1051685132691014e-06,3.0,78.89881024162463,1.463313588211471,3.0
6,LYS14,0.0010893084034941743,9.098015098929307e-06,4.0,117.75,10.436314802968846,4.0,0.0009377250526958151,4.090231250357941e-06,4.0,67.0,2.828427124746191,4.0,0.0010482442581439735,2.0282241743661733e-05,4.0,148.70450163052487,9.836769390854917,4.0,0.0009023559374464521,8.625497949925232e-06,4.0,84.70567548752972,0.7448379571532848,3.0
7,MET14,0.0007204771944055331,6.671320761112156e-06,4.0,167.75,9.97914491994847,4.0,0.0006522477117002904,8.356492998608972e-06,4.0,93.75,5.678908345800274,4.0,0.0008100312011899024,3.988091088001101e-06,4.0,165.74742430236142,4.753116272652411,4.0,0.0007235324080631683,4.906677086122458e-06,3.0,92.37241395639262,0.6166758198836394,3.0
8,PDA1,0.000827135313790459,8.84363519011189e-06,4.0,114.0,5.715476066494082,4.0,0.0007074803366161911,1.0287464794646613e-05,4.0,67.75,1.5,4.0,0.0008879035470117278,2.824751616054178e-06,3.0,151.189489325765,6.017614000378725,4.0,0.0007260711363617507,7.608756916208756e-06,4.0,83.48019572603297,2.106310619057621,4.0
9,SNF7,0.00016603525668646438,0.00033207051337292876,4.0,24.0,48.0,4.0,0.00014188292322814223,0.0002837658464562845,4.0,11.5,22.999999999999996,4.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0
10,ScCCM16_WT,0.0007880644895601412,4.849039963162524e-05,268.0,181.1455223880597,43.539182259901494,268.0,0.0006872470857704928,4.068740586501919e-05,268.0,97.64179104477611,19.084045529810748,268.0,0.0008019380455080182,6.194387929571327e-05,260.0,168.91650551003013,11.970987220664371,246.0,0.0007005836364917921,4.550461415945206e-05,254.0,92.8422803502535,6.395918968768636,245.0
11,ScCCM16_WT_select,0.0008526379980170456,7.902065109783664e-06,4.0,120.75,3.774917217635375,4.0,0.0007640284642381201,6.05944949700571e-06,4.0,74.25,2.629955639676582,4.0,0.0008256851136080299,6.355588978809874e-06,4.0,170.3424476077085,0.7100514362199116,3.0,0.0007230707138674264,4.9587476858317005e-06,4.0,94.5384103749641,1.2156316438007138,3.0
12,ScCCM23_ZWF1,0.0007760383278557493,1.0007546639134378e-05,4.0,152.0,6.377042156569663,4.0,0.0006873810358665911,1.3590387063963838e-05,4.0,84.0,1.8257418583505538,4.0,0.000831174496738852,3.5686760984443276e-05,4.0,167.18196157730404,4.927221621382557,4.0,0.0007264700166533849,3.0653263788623174e-05,4.0,89.22230647957633,2.314689032751958,4.0
13,ScCCM28_ARO2,0.0012108964071261526,2.225075100401572e-05,4.0,55.0,3.559026084010438,4.0,0.0009317161889250993,4.46220881701105e-05,4.0,36.5,2.0816659994661326,4.0,0.0012056428428986652,1.9595544074960985e-05,4.0,64.03554485378277,0.7143498901010726,3.0,0.0009344246661835738,2.262947143896754e-06,3.0,40.744249153464004,0.4830441635539986,3.0
14,ScCCM72_VPS20,0.0006838186361035818,1.0064589113991973e-05,4.0,110.5,12.793227374930325,4.0,0.0006007378044585685,1.062873751574015e-05,4.0,72.25,8.616843969807045,4.0,0.0007104352807170307,5.7802147581949875e-06,4.0,129.50921385105187,10.4605655679964,4.0,0.0006106151796407243,4.576597255682388e-06,4.0,78.62527273908226,7.134260758225361,4.0
15,ScCCM73_PDA1,0.0006513001882161177,2.271311796899574e-05,4.0,87.75,3.2015621187164265,4.0,0.0006413518407329538,1.661442054069787e-05,4.0,55.25,2.75378527364305,4.0,0.0006901387017839572,7.543863099435589e-06,3.0,92.89355330636323,0.5416657926014495,3.0,0.0006608878772552541,1.0245572786633187e-05,4.0,57.233981670867934,1.3628824024909172,4.0
16,ScCCM74_LPD1,0.00046345329874308854,7.626576896017099e-06,4.0,108.25,4.7871355387816905,4.0,0.000593243462138785,1.0108507853048198e-05,4.0,61.0,2.581988897471612,4.0,0.000530663507361053,1.823269615585077e-06,3.0,113.42189416918579,2.7027193130006952,4.0,0.0006616463153184447,4.826614503158263e-06,4.0,62.76426034699489,1.3562025036037892,4.0
17,ScCCM75_AIM22,0.0004790789319735636,7.70309516490372e-06,4.0,77.25,4.5,4.0,0.0006262489312802014,3.4115284925901083e-06,4.0,46.0,3.1622776601683795,4.0,0.0005288258901966389,2.7296049822700054e-05,4.0,93.48577662612081,7.419649608573333,4.0,0.0006533659237507964,1.0526405610045284e-05,4.0,53.25129606838788,4.3387104219842145,4.0
18,ScCCM77_LYS14,0.0011725901712160047,9.84373720138292e-06,4.0,119.25,3.3040379335998327,4.0,0.000998285364222228,1.350644367383909e-05,4.0,76.0,2.44948974278318,4.0,0.0011294671142460392,5.010101136966368e-05,4.0,152.40407253449325,2.2519137580428916,4.0,0.0009136071978780859,2.2857093005348126e-06,3.0,89.15570436027761,1.3176604446713451,4.0
19,ScCCM78_MET14,0.0008098300717568866,4.627734349439411e-06,4.0,140.0,4.546060565661952,4.0,0.0007454721441792927,6.855875056885307e-06,4.0,80.0,2.8284271247461894,4.0,0.0008027342688185194,3.82091214985063e-05,4.0,172.45607995887158,9.323096959242754,4.0,0.000721125544919029,2.6409455086271575e-06,3.0,93.29909273083739,5.4107465817337195,4.0
20,ScCCM88_GCR1,0.0021478179544617577,4.686066607687564e-05,4.0,122.0,2.943920288775949,4.0,0.001905698070580158,3.7371275874272576e-05,4.0,70.25,1.500000000000002,4.0,0.0019299466902710982,8.193965482282346e-05,4.0,148.80993310423787,2.666541990952936,4.0,0.0016908381283673314,2.381915575109089e-05,3.0,81.69769380205274,2.1978569081444888,4.0
21,ScCCM89_MET6,0.0018930181907105953,0.00015277461896519003,4.0,120.0,7.571877794400366,4.0,0.0017017589644995508,0.00011989596893792136,4.0,68.75,2.3629078131263035,4.0,0.001874252449783093,0.0003168749512071821,4.0,149.41627175420857,1.8735103592648348,3.0,0.0016872046088509105,0.00023670840992243722,4.0,85.25484736240487,1.195978484063074,3.0
22,ScCCM90_GLO4,0.0016588251085251583,7.483530201350537e-05,4.0,109.75,5.678908345800272,4.0,0.0014880325041930756,6.90338831806094e-05,4.0,67.5,2.3804761428476167,4.0,0.0014063565174543737,3.467148073249919e-05,3.0,150.75225041611463,6.10572781004267,4.0,0.0012400504347742395,8.00420822215443e-05,4.0,86.90067845752071,0.7288910123292993,3.0
23,ScCCM91_GSH1,0.0012391436155614979,8.452011748915222e-06,4.0,117.5,5.446711546122731,4.0,0.0010675347618116537,7.759533676314628e-06,4.0,69.5,1.9148542155126762,4.0,0.001064162066386764,0.00012623866731856389,4.0,155.6723681509558,2.8136574846307374,4.0,0.0009329078951405382,8.632713516316814e-05,4.0,85.36431629293324,1.0815526441407515,4.0
24,ScCCM92_TDH3,0.0013990451650698916,1.1716601884318284e-05,4.0,110.0,2.160246899469286,4.0,0.0012430574443296474,1.9682765078710772e-05,4.0,63.75,2.2173557826083443,4.0,0.0011831619225801473,2.5930828863495167e-05,4.0,154.50560918080956,0.887953635881753,3.0,0.0010547901714318066,3.0243091578811563e-05,4.0,83.3387937555696,1.4790783221807067,4.0
25,ScCCM94_FOB1,0.0014127566307506408,2.4022201309991224e-05,4.0,106.25,7.228416147400482,4.0,0.0012457831089253588,1.969313707020557e-05,4.0,62.0,4.082482904638631,4.0,0.0012339668070673192,0.00015200669744685753,4.0,135.83014411913246,4.997318900422343,4.0,0.001131634555950033,0.00010777406446755442,4.0,75.06231072760987,2.4510204661534187,4.0
26,ScCCM95_RIB5,0.0012766194917455571,1.1647500313894608e-05,4.0,118.0,2.449489742783178,4.0,0.0011271218249880774,9.3074636404111e-06,4.0,67.25,2.9860788111948193,4.0,0.0010757325360688645,3.176311597779941e-05,4.0,152.6516913992323,1.2070838168779887,4.0,0.000967945478341175,4.277555365065576e-05,4.0,85.434836684642,1.94106932435533,4.0
27,ScCCM96_YLL058W,0.0017108294304355176,2.8194011517552596e-05,4.0,125.25,7.632168761236875,4.0,0.001425099936176086,2.4353509946137087e-05,4.0,68.0,4.242640687119284,4.0,0.0015003881204427984,0.0002052025450848768,4.0,150.86360148225788,2.1173183341304367,3.0,0.0013192872325393048,0.00014151203052428327,4.0,80.42623857327561,0.912718602797788,3.0
28,VPS20,0.0006444818856988438,7.797038740793173e-06,4.0,113.25,2.7537852736430506,4.0,0.0005683642760777407,8.301547577180275e-06,4.0,71.75,0.5,4.0,0.0006585565353411373,3.0009177113468236e-05,4.0,123.88132699489704,0.8734019509953996,3.0,0.0005689978930801105,2.312701960088149e-05,4.0,75.25269605508544,0.05281279783989925,3.0
29,YIL059C,0.0008563566491936078,5.457756174508643e-06,4.0,138.5,3.696845502136473,4.0,0.0007499743554149472,7.40405510801929e-06,4.0,75.5,3.696845502136472,4.0,0.0008293029617871933,1.3783112403082237e-05,4.0,164.93644997499013,5.053124781425546,4.0,0.0007141340638318132,7.202394241719651e-06,4.0,89.88379802863932,4.550394131030362,4.0
